Basis#,Individual_Energy_in_Basis(%),Cummulative_Energy_in_Basis_upto_Current_Basis(%), Eigen_Values
1,40.2415,40.2415, 0.0670752
2,39.0237,79.2652, 0.0650455
3,12.5804,91.8456, 0.0209693
4,2.1348,93.9804, 0.00355833
5,0.807991,94.7884, 0.00134677
6,0.66176,95.4502, 0.00110303
7,0.656429,96.1066, 0.00109415
8,0.639726,96.7463, 0.00106631
9,0.598945,97.3453, 0.000998333
10,0.571112,97.9164, 0.00095194
11,0.548859,98.4653, 0.000914848
12,0.328659,98.7939, 0.000547815
13,0.163209,98.9571, 0.000272039
14,0.149719,99.1068, 0.000249554
15,0.130723,99.2376, 0.000217892
16,0.0998991,99.3375, 0.000166514
17,0.097209,99.4347, 0.00016203
18,0.0684491,99.5031, 0.000114092
19,0.0534323,99.5566, 8.9062e-05
20,0.0476095,99.6042, 7.93564e-05
21,0.0409212,99.6451, 6.82083e-05
22,0.0389739,99.6841, 6.49625e-05
23,0.0349035,99.719, 5.81777e-05
24,0.0287506,99.7477, 4.79221e-05
25,0.0271152,99.7748, 4.51962e-05
26,0.0256654,99.8005, 4.27796e-05
27,0.0223925,99.8229, 3.73243e-05
28,0.0183453,99.8412, 3.05782e-05
29,0.0155372,99.8568, 2.58976e-05
30,0.0149495,99.8717, 2.49181e-05
31,0.0141334,99.8859, 2.35578e-05
32,0.0136378,99.8995, 2.27318e-05
33,0.0105515,99.91, 1.75875e-05
34,0.00930973,99.9193, 1.55176e-05
35,0.00842161,99.9278, 1.40373e-05
36,0.00752309,99.9353, 1.25396e-05
37,0.0066726,99.942, 1.1122e-05
38,0.00618542,99.9482, 1.031e-05
39,0.00552503,99.9537, 9.20923e-06
40,0.00481643,99.9585, 8.02811e-06
41,0.00430159,99.9628, 7.16997e-06
42,0.00390054,99.9667, 6.50149e-06
43,0.0035177,99.9702, 5.86337e-06
44,0.00340391,99.9736, 5.6737e-06
45,0.00269213,99.9763, 4.4873e-06
46,0.00212805,99.9784, 3.54707e-06
47,0.00200671,99.9804, 3.34482e-06
48,0.00195764,99.9824, 3.26303e-06
49,0.00156749,99.984, 2.61273e-06
50,0.00148273,99.9855, 2.47144e-06
51,0.00145934,99.9869, 2.43246e-06
52,0.00134943,99.9883, 2.24925e-06
53,0.00116808,99.9894, 1.94699e-06
54,0.000973254,99.9904, 1.62224e-06
55,0.000939613,99.9913, 1.56616e-06
56,0.000890795,99.9922, 1.48479e-06
57,0.000738625,99.993, 1.23115e-06
58,0.000700547,99.9937, 1.16769e-06
59,0.000677567,99.9943, 1.12938e-06
60,0.000586323,99.9949, 9.77294e-07
61,0.000568638,99.9955, 9.47816e-07
62,0.000439073,99.9959, 7.31856e-07
63,0.000389271,99.9963, 6.48844e-07
64,0.000353051,99.9967, 5.88473e-07
65,0.000314547,99.997, 5.24292e-07
66,0.000289998,99.9973, 4.83374e-07
67,0.000273105,99.9976, 4.55217e-07
68,0.000266797,99.9978, 4.44702e-07
69,0.000246611,99.9981, 4.11056e-07
70,0.000195719,99.9983, 3.26228e-07
71,0.000181698,99.9985, 3.02858e-07
72,0.000148845,99.9986, 2.48098e-07
73,0.00013504,99.9987, 2.25088e-07
74,0.000114345,99.9989, 1.90592e-07
75,0.000107091,99.999, 1.78501e-07
76,9.84844e-05,99.9991, 1.64156e-07
77,9.30392e-05,99.9992, 1.5508e-07
78,8.25186e-05,99.9992, 1.37544e-07
79,7.75698e-05,99.9993, 1.29295e-07
80,6.54053e-05,99.9994, 1.09019e-07
81,6.02918e-05,99.9994, 1.00496e-07
82,5.08437e-05,99.9995, 8.47472e-08
83,4.82521e-05,99.9995, 8.04276e-08
84,4.22396e-05,99.9996, 7.04058e-08
85,4.09296e-05,99.9996, 6.82222e-08
86,3.98531e-05,99.9997, 6.64279e-08
87,3.54156e-05,99.9997, 5.90314e-08
